M,Time (s),Memory (KB),AvgPasses,AvgHeight
1000,0.00064,376904.0,1.0,0.122
2000,0.0017900000000000001,402524.0,1.0,0.19
3000,0.00172,429124.0,1.0,0.325
4000,0.00235,459832.0,1.0,0.403
5000,0.00413,493624.0,1.0,0.471
6000,0.0034300000000000003,526368.0,1.0,0.408
7000,0.00405,557128.0,1.0,0.362
8000,0.00461,582708.0,1.0,0.298
9000,0.00744,601128.0,1.0,0.215
10000,0.00811,614448.0,1.0,0.206
12000,0.00937,637020.0,1.0,0.17
14000,0.01055,648236.0,1.0,0.119
16000,0.011800000000000001,658520.0,1.0,0.065
18000,0.01284,662588.0,1.0,0.05
25000,0.011470000000000001,683104.0,1.0,28.803
30000,0.01939,694340.0,1.0,90.174
35000,0.02188,691256.0,1.0,204.539
40000,0.02417,701588.0,1.0,590.626
45000,0.02659,711728.0,1.0,1109.45
50000,0.01973,710712.0,1.0,1509.59
60000,0.030879999999999998,698404.0,1.0,1659.93
70000,0.02616,701496.0,1.0,1581.67
80000,0.03689,701476.0,1.0,1482.32
90000,0.04531,706616.0,1.0,1386.08
100000,0.04047,705588.0,1.0,1300.92
200000,0.41208999999999996,17440.0,2.0,9426.34
300000,0.62236,17444.0,2.0,9620.06
